013	'nYl-dEr-tin
1	'en
19	'ne-x@n-tin
2013	'twe-dE+-zen-der-tin
2030	'twe-dE+-zen-der-t@x
24/7	'twEn-tI-fA+r-sE-v@n
280	'twe-hOn-d@rt-Ax-t@x
281	'twe-hOn-d@rt-en-@n-tAx-t@x
3d	'dri-de
3fm	'dri-Ef-Em
80	'tax-t@x
a	'a
Ã 	'a
a-a-alles	'A-A-Al-@s
a-aangezien	'aan-G@-zin
a-afgemeld	a-'af-G@-mElt
a-als	A-'Als
aan	'an
aanbieding	'am-bi-dIN
aanbouw	'am-bA+w
aandacht	'an-dAxt
a-andere	A-'An-d@-r@
aandoet	'an-dut
aandraaien	'an-drA-j@n
aangeboden	'aN-G@-bo-d@
aangegeven	'aN-G@-Ge-v@
aangehaald	'aN-G@-halt
aangemeld	'aN-G@-mElt
aangepast	'aN-G@-pAst
aangeschoten	'aN-G@-sxo-t@
aangeven	'aN-Ge-v@
aangevraagd	'aN-G@-vraxt
aangezien	'aN-G@-zin
aanklikken	'aN-klI-k@
aankomen	'aN-ko-m@
aanmaken	'an-ma-k@
aanmaning	'an-man-IN
aannemen	'a-ne-m@
aanraken	'an-ra-k@
aanschaf	'an-sxAf
aanslaat	'an-slat
aansluit	'an-slY+t
aansluiten	'an-slY+-t@
aansnijden	'an-snE+-d@
aanspreekt	'an-sprekt
aanstaande	'an-stan-d@
aantal	'an-tAl
aantrekken	'an-trE-k@
aanvang	'an-vAN
aanvragen	'an-vra-G@
aanwezig	an-'we-z@x
aanzet	'an-zEt
aanzetten	'an-zE-t@
aanzuigen	'an-zY+-Gn
aap	'ap
aardappelsalade	'ard-A-p@l-sa-la-d@
aardig	'ar-d@x
a-arends	a-'a-r@nds
aas	'as
abn	'a-be-En
absoluut	Ap-so-'lyt
abstract	Ap-'strAkt
abstracte	Ap-'strAk-t@
abstractere	Ap-'strAk-t@-r@
absuut	Ap-'syt
ac	'a-se
ac-	'Ak
academische	a-ka-'de-mi-s@
accent	Ak-'sEnt
accepteert	Ak-sEp-'tert
accountants	A-'kA+n-t@nts
accountantskantoren	A'-kA+n-tEnts-kAn-to-r@n
accounting	A-'kA+n-tIN
accu	'A-ky
accuracy	A-'kjY-ra-sI
ach	'Ax
acht	'Axt
achten	'Ax-t@
achten-	'ax-t@n
achtentwintig	'Axt-En-twIn-t@x
achtentwintigste	'Axt-En-twIn-t@x-st@
achter	'Ax-t@r
achteraan	Ax-t@r-'an
achteraf	Ax-t@r-'Af
achteren	'Ax-t@-r@
achtergrond	'Ax-t@r-GrOnt
achtergronden	'Ax-t@r-GrOn-d@
achterhoek	'Ax-t@r-huk
achterin	Ax-t@r-'In
achterlijk	'Ax-t@r-l@k
achterna	Ax-t@r-'na
achterop	Ax-t@r-'Op
achterover	Ax-t@r-'o-v@r
achteruit	Ax-t@r-'Y+t
achterwaartse	'Ax-t@r-wart-s@
achtig	'Ax-t@x
achtige	'Ax-tiG-@
achttien	'Ax-tin
achttiende	'Ax-tin-d@
acteur	Ak-'t2r
acteurs	Ak-'t2rs
action	'Ak-SOn
activiteit	Ak-ti-vi-'tE+t
activiteiten	'Ak-ti-vi-tE+-t@
adem	'a-d@m
adem-	'a-dEm
ademhaalt	'a-d@m-halt
ademhaling	'a-d@m-ha-lIN
ademhalingspatroon	'a-d@m-ha-lINs-pA-tron
aderen	'a-d@-r@
adobe	'a-dO-b@
advanced	Ad-'vanst
adviestaak	At-'vis-tak
adviseren	At-fi-'ze-r@
advocaat	At-fo-'kat
af	'Af
af-	'Af
afbekt	'Av-bEkt
afblijven	'Av-blE+-v@
afdele	af-'delI
afdoende	Av-'dun-d@
afgekocht	'Af-x@-kOxt
afgelopen	'Af-x@-lo-p@
afgemaakt	'Af-x@-makt
afgeragd	'Af-x@-'rAxt
afgerond	'Af-x@-rOnt
afgeschaft	'Af-x@-sxAft
afgesloten	'Af-x@-slo-t@
afgesproken	'Af-x@-spro-k@
afgestemd	'Af-x@-stEmt
afgewogen	'Af-x@-wo-G@
afhaken	'Af-ha-k@
afkloppen	'Af-klO-p@
afkomen	'Af-ko-m@
afkortingen	'Af-kOr-tI-N@
afleidende	'Af-lE+-d@n-d@
afleidt	'Af-lE+t
aflever	'Af-le-v@r
aflevering	'Af-le-v@-rIN
afleveringen	'Af-le-v@-rI-N@
aflikken	'Af-lI-k@n
afmaken	'Af-ma-k@
afrekening	'Af-re-k@-nIN
afrikanen	a-fri-'ka-n@
afschaffen	'Af-sxA-f@
afschuwelijk	Af-'sxy-w@-l@k
afschuwelijke	Af-'sxy-w@-l@-k@
afsluiten	'Af-slY+-t@
afsluiting	'Af-slY+-tIN
afspraak	'Af-sprak
afspraak-	'Af-sprak
afspreken	'Af-spre-k@
afstappen	'Af-stA-p@
afstudeerfeest	'Af-sty-der-fest
afstuderen	'Af-sty-de-r@
afwachten	'Af-wAx-t@
afwas	'Af-wAs
afwassen	'Af-wA-s@
afwasspu-	'Af-wA-spY
afwerken	'Af-wEr-k@
afwisseling	'Af-wI-s@-lIN
afzeggen	'Af-sE-G@
afzeiken	'Af-sE+-k@
agenda	a-'GEn-da
ah	'a
ah-	'a
aha	a-'ha
ahah	A-'hAh
ahahahah	A-hAh-A-'hAh
ahoy	a-'hOj
ahum	'A-hY
airconditioning	'E:r-k@n-dI-S@-nIN
aj	'aje
akeligs	'a-k@-l@xs
akkoorden	A-'kor-d@
al	'Al
al-	'Al
al-al	'A-lAl
albert	'Al-b@rt
album	'Al-bYm
alcoh	'Al-kO
alcohol	'Al-ko-hOl
alcoholvrij	Al-ko-hOl-'vrE+
alert	a-'lErt
alexander	A-l@k-'sAn-d@r
algehele	'Al-G@-he-l@
algemene	Al-G@-'me-n@
alhoewel	Al-hu-'wEl
ali	'A-li
